Advertisment Sr#,Company,job title,experience,Level,website,Degree
Advertisment 1,Aquilinesoft,Software Quality Assurance Engineer,3 Years Preferred,Entry level,Jobs.com,Bachelor's
Advertisment 2,Excelsious Ltdˇ,Software Quality Assurance Engineer,Less than 1 Year - 4 Years,Entry level,Rozee.pk,BSCS
Advertisment 3,Finjia,Software QA Engineer,1-2 Years,Entry level,Rozee.pk,BSCS
Advertisment 4,Gears Mobility SystemsˇCompanyˇ,Software Test Engineer,0-3 years,Entry level,linkedIn.com,Bachelor's
Advertisment 5,Hroc  Karachi,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,BS/MS compute science
Advertisment 6,Immentia SMC-Private Ltdˇ,Software Quality Assurance Engineer,Fresh - 4 Years,Entry level,Rozee.pk,Bachelor's
Advertisment 7,Infinit Connections Pvt Ltd,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 8,Magnatec Systems Private Limited,SQA Engineer (Female),2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 9,Metis International (Pvt) Ltd,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 10,Multitech Engineers,Software Quality Assurance Engineer,Fresh - 6 Years,Entry level,Rozee.pk,Bachelor's
Advertisment 11,NewStar,Junior SQA Analyst,Fresh (0) to 2 Yearsˇ,Entry level,Linked In.com,BS/MS compute science
Advertisment 12,NineSol Technology,QA Officer,2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 13,Punch Digital Agency,QAWizard,2 Years Preferred,Entry level,indeed.com,BSCS
Advertisment 14,Sandyapps.co,Junio SQA Engineer,-Fresh Graduate to 2+ years?,Entry level,Jobs.com,BS/MS compute science
Advertisment 15,Shispare pvt ltd,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 16,Smart Placement,Software Quality Assurance Engineer,3 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 17,Staffshaw Pvt Ltd,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 18,Starzplay Arabia,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,BS/MS compute science
Advertisment 19,Systems Limited,Software Quality Assurance Engineer,Fresh to 3 years,Entry level,Jobs.com,BSCS/BSSE
Advertisment 20,TapmadTv,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 21,Viftech Solutions,Software Quality Assurance Engineer,2 Years Preferred,Entry level,indeed.com,Bachelor's
Advertisment 22,2B Vision Technologies,Software Quality Assuranceˇ,Less than a year,Entry Level,Indeed.com,BSCS/BSSE/BSIT
Advertisment 23,AA Web Solutions,Junior SQA Engineer ,Less than a year,Entry Level,Jobs.com,BSCS/BSSE/BSIT
Advertisment 24,Acclivous Byteˇ,Software Quality Assurance Engineer And Tester,Less than a year,Entry Level,Rozee.pk,BSCS/BSSE/BSIT
Advertisment 25,Amco IT Systems,SQA Engineer / Software Quality Assurance Engineer,less than a year,Entry Level,Jobs.com,BSCS/BSSE/BSIT
Advertisment 26,App Desk Inc,Software Quality Assurance Engineer And Tester,less than a year,Entry Level,Indeed.com,BSCS
Advertisment 27,Applicon Soft,Software Quality Assurance Engineer And Tester,less than a year,Entry Level,Indeed.com,BSCS
Advertisment 28,AvantureBytes,Software Quality Assurance Engineer And Tester,Fresh,Entry Level,Jobee.pk,BSCS/BSSE/BSIT
Advertisment 29,Avanza Solutions,Trainee SQA Engineer,Fresh,Entry Level,Rozee.pk,BSCS
Advertisment 30,Bari's Technology Solution,Software Quality Assurance Engineer And Tester,less than a year,Entry Level,Indeed.com,BSCS
Advertisment 31,Bitswits Pakistan Pvt Ltd,SQA ENGINEER,"ˇ6 months to 1 year experience,Fresh Graduates also apply. ",Entry Level,Indeed.com,BSCS
Advertisment 32,Codexia Technologies,Software Quality Assurance Engineer And Tester,less than a year,Entry Level,Jobee.pk,BSCS/BSSE/BSIT
