, Extraverted,,,Agreeableness,,,, Conscientiousness,,,, Openness to experience,,
,Socail,assertive , energetic,Kind ,Warm ,polite,accomodating,organised,strong willed,Purposeful,determined,Creative,Imaginative,Insightful
Advertisment 1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Advertisment 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Advertisment 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 13,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 14,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 15,0,0,0,0,1,1,1,0,0,0,0,1,0,0
Advertisment 16,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Advertisment 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 18,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Advertisment 19,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Advertisment 20,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 21,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
