,communication skills,Interpersonal Skills,analytical, problem solving  skills,Team player,Organizational Skills,Fast learner,Ability to work Independently ,Innovative,Adoptable to changes,Work Ethics,Customer Focus,Proactive,Work under pressure,Detail oriented,Cirtical Thinking,Motivated ,Commited,Quality oriented,Goal oriented
,,,,,,,,,,,,,,,,,,,,
Advertisment 1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 11,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
Advertisment 12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 13,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 18,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
Advertisment 19,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Advertisment 23,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Advertisment 24,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 25,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Advertisment 26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 27,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 29,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 30,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 31,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
Advertisment 32,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 33,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 34,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 35,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 36,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 37,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Advertisment 38,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 39,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 42,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 43,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 45,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Advertisment 46,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 47,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 49,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Advertisment 50,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 52,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 54,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Advertisment 55,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Advertisment 56,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 60,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Advertisment 61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 62,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 64,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
