,communication skills,Interpersonal Skills,analytical, problem solving  skills,Team player,Organizational Skills,Fast learner,Ability to work Independently ,Innovative,Adoptable to changes,Work Ethics,Customer Focus,Proactive,Work under pressure,Detail oriented,Cirtical Thinking,Motivated ,Commited,Quality oriented,Goal oriented
Communication Skills,1,ÿ0.13457,0.33939,ÿ0.34724.,0.35603.,ÿ0.118,0.16752,0.16368,0.05701,ÿ0.10138,0.07615,0.08692,0.0702,0.0185,ÿ0.0816,ÿ0.0816,ÿ0.0816,0.04,0.0282,0.049
Interpersonal Skills,ÿ0.13457,1,-0.0994,-0.141,0.0755,ÿ-0.0629,-0.0797,-0.0054,0.0605.,0.0359.,0.3811.,-0.0103.,0.1243.,-0.028,ÿ0.1588,0.0867.,0.0115,0.1276,0.2098.,0.0871
analytical,0.33939,-0.0994,1,0.891,ÿ0.1878,ÿ0.0208,0.1818,0.2932.,0.0702,0.2199.,-0.1052,0.1206.,0.0536.,0.1562.,0.1491,0.2155,0.0172.,0.1057.,,-0.0548.
 problem solving  skills,ÿ0.34724.,-0.141,0.891,1,0.2501.,ÿ0.0295.,ÿ0.1903.,0.3154.,0.0841.,0.1495., -0.0863.,ÿ0.1418.,ÿ0.1366,0.1798.,0.2206,0.2352,0.097.,0.1154,0.0813,0.0495
Team player,0.35603.,0.0755,ÿ0.1878,0.2501.,1,ÿ0.0214,ÿ0.1785,0.2434,ÿ0.0801.,0.0475.,0.2139.,0.0814,0.0658.,0.1729.,0.2801.,0.1147,0.0917.,0.1125.,0.0793.,0.0461.
Organizational Skills,ÿ0.118,ÿ-0.0629,ÿ0.0208,0.0295,ÿ0.0214,1,ÿ-0.0957.,0.0568,ÿ0.0858,-0.0102.,0.036.,0.1076,0.0494.,-0.0026.,0.2852,0.0246.,0.036.,0.1568.,ÿ0.2466.,0.1136.
Fast learner,0.16752,-0.0797,0.1818,ÿ0.1903.,ÿ0.1785,ÿ-0.0957.,1,0.3184.,0.1325.,ÿ0.2356.,0.058.,-0.0445,ÿ0.1633.,0.0645.,0.2113,0.3387.,0.296,ÿ0.0931.,0.1686.,0.1742.
Ability to work Independently ,0.16368,-0.0054,0.2932.,0.3154.,0.2434,0.0568,0.3184.,1,0.1811,ÿ0.2677.,0.0144.,ÿ-0.0812.,0.1102.,ÿ0.2366,0.2345,ÿ0.1938.,0.2244.,0.0628.,0.1351,ÿ0.13
Innovative,0.05701,0.0605.,0.0702,0.0841.,ÿ0.0801.,ÿ0.0858,0.1325.,0.1811,1,0.1064.,ÿ0.3572,0.1347.,0.1791,0.2729.,0.0448,0.1469.,0.3572.,0.3423.,0.4953.,0.273
Adoptable to changes,ÿ0.10138,0.0359.,0.2199.,0.1495.,0.0475.,-0.0102.,ÿ0.2356.,ÿ0.2677.,0.1064.,1,0.0551.,0.1365.,ÿ0.1936,0.1102.,0.2127.,ÿ0.4791,0.0551.,0.1815.,0.2785.,0.1356.
Work Ethics,0.07615,0.3811.,-0.1052,ÿ-0.0863.,0.2139.,0.036.,0.058.,0.0144.,ÿ0.3572,0.0551.,1,0.0804.,0.1186.,0.1834,0.338.,0.0911.,0.253.,0.251.,0.3708.,ÿ0.1957.
Customer Focus,0.08692,-0.0103.,0.1206.,ÿ0.1418.,0.0814,0.1076,-0.0445,ÿ-0.0812.,0.1347.,0.1365.,0.0804.,1,0.3802.,0.0409.,0.0494.,0.1929.,0.0804.,0.2167,ÿ0.3248.,0.1662
Proactive,0.0702,0.1243.,0.0536.,ÿ0.1366,0.0658.,0.0494.,ÿ0.1633.,0.1102.,0.1791,ÿ0.1936,0.1186.,0.3802.,1,ÿ0.2064,0.1935.,ÿ0.2566.,0.2795.,0.2739.,0.4018.,0.1935.
Work under pressure,0.0185,-0.028,0.1562.,0.1798.,0.1729.,-0.0026.,0.0645.,ÿ0.2366,0.2729.,0.1102.,0.1834,0.0409.,ÿ0.2064,1,-0.045.,0.051.,0.1834.,0.1918.,0.2919.,0.045.
Detail oriented,0.1495,ÿ0.1588,0.1491,0.2206,0.2801.,0.2852,0.2113,0.2345,0.0448,0.2127.,0.338.,0.0494.,0.1935.,-0.045.,1,0.4658.,0.1669.,0.1103.,0.1888.,ÿ0.2.
Cirtical Thinking,ÿ0.0816,0.0867.,0.2155,0.2352,0.1147,0.0246.,0.3387.,ÿ0.1938.,0.1469.,ÿ0.4791,0.0911.,0.1929.,ÿ0.2566.,0.051.,0.4658,1,0.2313.,0.2323.,ÿ0.3457.,0.1797
Motivated ,ÿ0.0816,0.0115,0.0172.,0.097.,0.0917.,0.036.,0.296,0.2244.,0.3572.,0.0551.,0.253.,0.0804.,0.2795.,0.1834.,0.1669.,0.2313.,1,0.251.,0.3708.,0.6463.
Commited,0.04,0.1276,0.1057.,0.1154,0.1125.,0.1568.,ÿ0.0931.,0.0628.,0.3423.,0.1815.,0.251.,0.2167,0.2739.,0.1918.,0.1103.,0.2323.,0.251.,1,ÿ0.7049.,0.3992
Quality oriented,0.0282,0.2098.,0.0745,0.0813,0.0793.,ÿ0.2466.,0.1686.,0.1351,0.4953.,0.2785.,0.3708.,ÿ0.3248.,0.4018.,0.2919.,0.1888.,ÿ0.3457.,0.3708.,ÿ0.7049.,1,0.5737.
Goal oriented,0.049,0.0871,-0.0548.,0.0495,0.0461.,0.1136.,0.1742.,0.13,0.273,0.1356.,ÿ0.1957.,0.1662,0.1935.,0.045.,ÿ0.2.,0.1797,0.6463.,0.3992,0.5737.,1
